mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
502190,9,12,0,0,0,0,0,176.2,203,101,92,20,30,1,125,7,0,7
488786,2,1,0,0,0,2,10,48.0,45,27,25,5,24,2,45,3,0,3
434538,8,13,0,0,0,0,0,163.0,157,98,85,26,85,1,168,9,0,9
608638,1,1,0,0,0,0,2,23.0,25,12,12,0,12,0,17,1,0,3
519294,3,0,0,0,0,0,3,15.1,16,10,8,4,4,1,25,1,0,0
502327,13,10,0,0,0,0,0,182.0,169,100,95,33,79,0,144,5,1,3
592612,1,3,0,0,0,3,18,36.1,31,20,19,7,19,1,25,3,0,2
593958,3,7,0,0,0,0,0,107.0,99,58,56,16,40,1,100,3,0,0
643338,2,4,0,0,1,0,0,45.2,49,26,24,12,15,0,52,1,0,1
459429,2,3,0,0,15,4,4,45.2,56,25,24,9,16,1,38,3,0,4
543135,9,8,0,0,0,0,0,124.2,123,66,66,23,40,2,97,1,0,5
453329,8,10,0,0,0,0,2,139.1,130,80,74,21,55,1,93,5,0,1
605400,6,9,0,0,0,0,0,111.0,116,68,59,10,29,3,121,6,0,2
518452,14,8,1,1,0,0,0,186.0,204,107,99,22,59,5,138,7,0,4
543184,5,12,0,0,0,0,0,129.1,131,74,69,13,52,2,100,2,0,7
502202,4,3,0,0,0,3,7,24.1,23,13,13,3,19,1,22,2,0,0
285064,3,7,0,0,0,0,1,82.1,80,51,44,11,40,2,61,4,0,4
468504,6,8,1,0,0,0,0,144.0,153,81,77,14,55,4,119,5,1,8
501381,6,12,0,0,0,0,0,175.2,184,98,94,27,53,1,207,6,0,7
592330,0,0,0,0,0,0,0,9.1,12,6,5,0,5,1,12,2,0,1
607067,5,5,0,0,0,0,0,102.2,102,63,55,12,44,4,80,8,1,0
491646,3,5,0,0,37,6,1,68.2,78,38,37,6,22,2,47,2,0,3
518774,4,10,0,0,0,0,0,92.2,111,55,50,8,25,1,76,1,0,4
643230,0,3,0,0,0,0,0,33.1,45,26,18,5,17,1,29,2,0,1
607231,1,4,0,0,0,0,0,50.0,54,32,27,7,21,3,49,2,0,4
503449,7,11,0,0,0,0,0,127.2,152,73,69,19,43,1,93,3,0,0
519455,9,7,0,0,0,0,0,105.1,118,63,57,14,26,0,66,2,0,3
592767,7,12,0,0,0,0,0,175.1,174,103,95,32,49,2,167,2,0,10
503444,0,7,0,0,0,0,0,62.2,65,40,34,10,22,0,37,2,0,0
656546,0,4,0,0,0,0,0,31.1,37,29,17,7,17,1,22,0,0,4
502009,7,3,0,0,0,0,0,70.0,74,40,38,11,30,1,42,1,0,1
